번호,업소명,도로명주소,소재지주소,지정일자,음식의유형,주된음식종류,전화번호
341,일미구이식당,대전광역시 대덕구 중리로 14 (중리동),대전광역시 대덕구 중리동 411-2 ,20151217,한식,돼지양념갈비,042 672 4288
342,읍내동풍천민물장어,"대전광역시 대덕구 계족로 760, 2층 (읍내동)",대전광역시 대덕구 읍내동 573-1 (2층) ,20161014,한식,장어구이,042 627 8899
343,신탄장어가참숯구이,"대전광역시 대덕구 신탄진로790번길 28, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 154-6 (1층) ,20071023,한식,장어구이,042 933 5344
344,대복삼겹신탄진점,"대전광역시 대덕구 신탄진동로23번길 52 (신탄진동,(1층))",대전광역시 대덕구 신탄진동 139-1 (1층) ,20081230,한식,대패삼겹살,042 931 9288
345,코다리밥상,"대전광역시 대덕구 송촌북로36번길 24, 2층 (송촌동)",대전광역시 대덕구 송촌동 450-5 (2층) ,20161014,한식,명태찜,042 624 0300
346,꽁뚜식당,"대전광역시 대덕구 신탄진로36번길 111, 2.3층 (연축동)","대전광역시 대덕구 연축동 69-5 ,12(2,3층) ",20081009,,북경오리,042 483 9999
347,개성집,"대전광역시 대덕구 계족산로81번길 102, 1층 (송촌동)",대전광역시 대덕구 송촌동 447-2 1층 ,20161215,한식,"명태문어조림,명태단호박갈비조림",042 638 6678
348,원조설악추어탕식당,"대전광역시 대덕구 덕암북로48번길 9, 1층 (덕암동)",대전광역시 대덕구 덕암동 8-15 1층 ,20170410,한식,추어탕,042 932 7000
349,이순신소국밥송촌점,"대전광역시 대덕구 동춘당로 79, 1층 (송촌동)",대전광역시 대덕구 송촌동 477-1 (1층) ,20091005,한식,소국밥,042 639 8077
350,맛유락,"대전광역시 대덕구 계족산로81번길 92, 2층 (송촌동)",대전광역시 대덕구 송촌동 447-4 ,20120404,한식,찜닭,042 635 5212
351,또랑,"대전광역시 대덕구 계족로 550 (중리동,지상1층)",대전광역시 대덕구 중리동 122-4 지상1층 ,20110404,한식,"돼지갈비,갈비탕",042 635 5678
352,낙동생오리대전점,"대전광역시 대덕구 계족산로36번길 9, 1층 (중리동)",대전광역시 대덕구 중리동 505-4 (1층) ,20101006,,"생오리참숯구이, 생오리양념주물럭구이",042 627 5288
353,예산소복갈비,"대전광역시 대덕구 송촌남로 43 (송촌동,(2층))",대전광역시 대덕구 송촌동 242-48 (2층) ,20110701,한식,"소복갈비,돼지갈비",042 635 2401
354,우리손칼국수,"대전광역시 대덕구 선비마을로 9, 1층 (송촌동)",대전광역시 대덕구 송촌동 506-2 (1층) ,20141008,한식,칼국수,042 626 8283
355,강길도낙지마을,"대전광역시 대덕구 선비마을로 9 (송촌동,1동 102호)",대전광역시 대덕구 송촌동 506-2 1동 102호 ,20120627,한식,"낙지철판구이,낙지볶음",042 639 8582
356,백마강민물장어,대전광역시 대덕구 동서대로 1752 (비래동),대전광역시 대덕구 비래동 561-1 ,20111228,한식,장어구이,042 628 3883
357,계족산산골보리밥,"대전광역시 대덕구 장동로 223-10 (장동,(1층))",대전광역시 대덕구 장동 367-4 (1층) ,20121224,한식,보리밥,042 625 2758
358,통큰갈비신탄진점,"대전광역시 대덕구 신탄진동로 18, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 155-16 (1층) ,20121224,한식,돼지갈비,042 933 9329
359,김밥천국석봉점,"대전광역시 대덕구 대덕대로 1554, 1층 (석봉동)",대전광역시 대덕구 석봉동 309-11 (1층) ,20130405,한식,원조김밥,042 932 0222
360,샤브쌈주머니오정점,"대전광역시 대덕구 한밭대로 1048, 2층 (오정동)",대전광역시 대덕구 오정동 65-8 (2층) ,20130405,한식,"소고기월남쌈, 오리월남쌈",042 624 8485
361,다모아밥상,"대전광역시 대덕구 한밭대로 1027, 지하1층 (오정동)",대전광역시 대덕구 오정동 62-1 (지하1층) ,20140404,한식,삼겹살,042 637 1120
362,비빔국수전문점길갈,"대전광역시 대덕구 신탄진로567번길 2, 1층 (상서동)",대전광역시 대덕구 상서동 279 (1층) ,20140404,분식,"비빔국수,왕만두",042 671 3060
363,계족산염소맛집,"대전광역시 대덕구 송촌북로36번길 11, 2층 (송촌동)",대전광역시 대덕구 송촌동 449-6 (2층) ,20140711,한식,"오리양념불고기, 오리탕미나리샤브",042 636 5292
364,삼돈이,"대전광역시 대덕구 대덕대로 1554, 1층 (석봉동, 별관 )",대전광역시 대덕구 석봉동 309-11 (별관1층) ,20140404,한식,삼겹살,042 932 8292
365,장동감나무보리밥,대전광역시 대덕구 장동로 231 (장동),대전광역시 대덕구 장동 347-5 ,20150713,한식,보리밥,042 585 5353
366,김연수소국밥막국수,"대전광역시 대덕구 대전로1370번길 13-14, 1-2층 (읍내동)",대전광역시 대덕구 읍내동 306 1-2층 ,20170706,한식,소머리국밥,042 634 3325
367,딜리버리 팩토리 대전본점,"대전광역시 대덕구 송촌북로 1, 1층 (중리동)",대전광역시 대덕구 중리동 503-3 1층 ,20160411,한식,"돼지족발, 만두전골",042 621 8883
368,소도둑대전송촌점,"대전광역시 대덕구 송촌북로4번길 49, 1층 (송촌동, 101호)",대전광역시 대덕구 송촌동 475-6 101호 ,20170410,한식,숙성양념더줌(소고기),042 639 6036
369,명품진한우,"대전광역시 대덕구 한밭대로1006번길 105, 2층 (오정동)",대전광역시 대덕구 오정동 275-3 2층 105호,20160411,한식,한우구이,042 628 9277
370,샤브쌈주머니비래점,"대전광역시 대덕구 비래동로 20, 2층 (비래동)",대전광역시 대덕구 비래동 139-1 2층 ,20170410,한식,샤브샤브,042 622 3339
